Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cambodia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.11,0.21,0.23,0.26,0.33,0.39,0.50,0.55,0.15,0.13,0.15
Bosnia and Herzegovina,MtCO2e,4.85,4.83,4.14,3.74,0.69,0.77,0.49,0.87,0.74,0.70,1.10,1.17,1.04,1.63,1.60,1.78,1.40,1.55,1.90,0.86,1.01,1.06,0.99,0.65,0.17,0.16,0.04,0.04,0.11
Cyprus,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.09,0.10,0.11,0.13,0.10,0.10,0.11,0.10,0.10,0.10,0.10,0.10,0.11,0.10
Cameroon,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.09,0.09,0.08,0.08
Central African Republic,MtCO2e,false,false,false,false,false,false,false,false,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06
Benin,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.00,false,false,false,false,false,false,false,false,false,false,false,0.03,0.04,0.05
Botswana,MtCO2e,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.07,0.07,0.11,0.04,0.04,0.13,0.06,0.11,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05
Angola,MtCO2e,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.05,0.04,0.03,0.03
Bahamas,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.05,0.03,0.06,0.05,0.04,0.01,0.01,0.02,0.02
Afghanistan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
India,MtCO2e,28.30,33.08,33.03,32.13,36.92,39.07,41.62,45.13,35.10,40.38,38.54,39.27,41.05,47.94,48.20,47.47,47.30,43.67,70.49,68.24,68.81,52.97,65.39,59.84,64.05,64.30,66.71,69.07,70.90
Japan,MtCO2e,19.53,19.95,19.91,19.36,18.06,18.19,21.80,21.92,21.18,20.61,21.22,21.96,23.28,23.48,23.99,22.63,21.17,21.20,18.25,21.07,18.91,17.38,17.31,16.02,16.13,17.52,18.39,16.85,16.51
Iran,MtCO2e,12.22,13.08,15.65,13.28,13.28,12.70,12.60,12.05,13.55,14.78,14.97,18.97,13.26,12.10,13.18,14.80,17.94,19.66,12.62,13.08,13.24,11.80,12.03,12.33,11.86,11.88,11.31,12.19,12.68
France,MtCO2e,11.11,11.35,11.49,11.72,11.45,11.48,11.72,11.65,13.77,13.79,13.80,14.12,14.29,14.45,14.93,14.48,14.09,13.70,13.97,13.79,13.36,13.70,12.85,13.28,13.16,12.90,11.84,11.70,11.80
Italy,MtCO2e,8.88,8.42,8.67,9.51,9.65,9.87,9.67,9.37,9.43,9.16,8.63,8.66,8.62,8.80,8.80,8.95,8.74,8.28,7.97,8.08,7.72,7.53,7.25,7.11,7.11,7.32,7.45,7.30,7.72
South Korea,MtCO2e,7.91,8.99,9.64,10.86,14.75,16.53,16.07,15.89,13.00,14.91,14.13,13.83,13.12,12.31,11.34,11.00,9.82,9.88,8.44,9.04,9.79,9.46,9.44,9.51,8.25,8.08,6.89,7.68,7.36
Germany,MtCO2e,16.23,18.05,16.19,13.09,14.16,15.06,18.27,18.37,17.71,12.06,11.07,11.19,11.21,1.03,0.97,1.07,0.82,0.58,0.52,0.52,1.30,1.40,1.22,1.16,1.25,1.10,1.10,0.85,7.33
Indonesia,MtCO2e,3.83,3.82,4.63,5.30,5.56,5.81,6.29,6.17,6.54,8.85,11.34,11.86,11.57,10.89,12.12,10.94,9.67,9.29,9.08,9.03,7.66,9.53,12.02,10.85,9.83,11.67,6.95,7.80,5.95
Ecuador,MtCO2e,0.21,0.15,0.14,0.16,0.15,0.15,0.14,0.09,0.09,0.09,1.23,2.02,1.45,1.77,2.10,2.44,2.62,3.44,4.22,4.30,3.02,3.43,3.54,3.49,3.29,2.96,3.32,3.58,4.20
Egypt,MtCO2e,false,false,false,false,0.25,0.37,0.44,0.78,0.24,0.43,0.23,0.20,0.19,0.14,2.29,5.46,5.71,6.21,6.46,7.05,7.14,7.29,7.14,2.82,2.95,2.89,3.00,2.86,2.68
North Korea,MtCO2e,16.48,16.04,15.55,15.32,14.59,13.99,12.43,12.33,11.53,12.91,13.68,13.71,12.83,13.13,13.43,14.18,14.54,11.86,13.24,10.27,9.59,6.58,6.79,4.59,5.32,3.97,4.80,3.29,2.46
Kazakhstan,MtCO2e,26.20,28.06,35.44,24.45,19.36,21.52,17.94,15.24,15.83,15.12,8.88,4.58,2.87,4.99,5.39,8.76,15.04,19.95,7.10,9.69,10.29,3.05,7.91,5.30,2.91,1.84,1.94,2.25,2.18
Finland,MtCO2e,2.11,1.80,1.96,1.95,1.70,1.70,1.74,1.70,1.74,1.67,2.44,2.87,2.73,3.06,2.55,2.44,2.25,2.41,2.39,2.24,2.10,1.95,2.06,1.99,1.94,1.96,1.98,1.90,1.80
Hungary,MtCO2e,2.87,2.31,1.95,1.53,1.94,1.95,2.03,1.75,1.75,1.78,1.66,1.49,1.52,1.40,1.29,1.24,1.24,1.11,1.19,1.00,1.14,1.12,0.88,1.28,1.38,1.40,1.55,1.46,1.54
Ethiopia,MtCO2e,0.27,0.27,0.10,0.12,0.13,0.15,0.17,0.19,0.21,0.21,0.24,0.30,0.31,0.33,0.38,0.35,0.39,0.43,0.44,0.46,0.47,0.51,0.57,0.67,0.74,0.80,0.99,1.08,1.16
Israel,MtCO2e,0.42,0.42,0.62,1.37,1.39,1.69,1.70,1.58,1.48,1.56,1.63,2.13,1.90,2.02,2.53,1.86,2.06,1.97,1.15,2.34,2.28,2.17,1.56,1.05,1.11,1.05,1.02,1.08,1.04
Greece,MtCO2e,2.91,3.05,2.83,2.75,2.77,2.57,2.62,2.62,2.62,2.62,2.63,2.66,2.89,3.10,2.65,2.72,2.87,2.57,2.49,1.96,1.69,1.58,1.44,0.96,0.88,0.89,0.84,0.84,0.84
Jordan,MtCO2e,0.66,0.71,0.85,0.89,0.62,0.93,0.24,0.30,0.27,0.27,0.33,0.33,0.33,0.36,0.39,0.40,0.41,0.49,0.41,0.43,0.40,0.46,0.48,0.24,0.48,0.46,0.54,0.70,0.81
Ireland,MtCO2e,0.66,0.68,0.69,0.69,0.79,0.91,0.73,0.75,0.75,0.79,0.93,0.94,0.93,0.97,0.96,1.00,0.95,0.89,0.89,0.78,0.77,0.69,0.67,0.64,0.61,0.59,0.55,0.57,0.62
Iceland,MtCO2e,0.67,0.70,0.75,0.79,0.80,0.78,0.86,0.84,0.79,0.78,0.73,0.66,0.72,0.75,0.73,0.71,0.61,0.62,0.57,0.66,0.59,0.56,0.55,0.66,0.61,0.68,0.57,0.58,0.57
Latvia,MtCO2e,0.77,0.82,0.63,0.56,0.52,0.41,0.41,0.34,0.30,0.31,0.31,0.34,0.31,0.36,0.38,0.37,0.39,0.38,0.34,0.33,0.38,0.38,0.36,0.36,0.36,0.37,0.40,0.43,0.44
Ghana,MtCO2e,0.13,0.12,0.14,0.15,0.17,0.20,0.21,0.22,0.29,0.33,0.53,0.51,0.17,0.18,0.18,0.20,0.21,0.24,0.29,0.32,0.25,0.31,0.38,0.36,0.23,0.24,0.23,0.41,0.39
Kenya,MtCO2e,0.39,0.18,0.31,0.36,0.29,0.27,0.32,0.28,0.35,0.29,0.29,0.28,0.25,0.20,0.20,0.13,0.14,0.21,0.15,0.13,0.16,0.15,0.13,0.15,0.21,0.19,0.21,0.30,0.33
Estonia,MtCO2e,0.87,0.87,0.57,0.43,0.22,0.17,0.21,0.17,0.17,0.08,0.10,0.23,0.26,0.27,0.25,0.24,0.21,0.22,0.22,0.22,0.22,0.27,0.27,0.27,0.33,0.34,0.33,0.32,0.32
Honduras,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,false,false,0.15,0.14,0.21,0.28,0.40,0.42,0.01,0.19,0.20,0.15,0.13,0.16,0.15,0.14,0.25,0.15,0.08,0.25
Dominican Republic,MtCO2e,0.08,0.08,0.10,0.09,0.12,0.13,0.15,0.18,0.09,0.09,0.11,0.16,0.17,0.14,0.16,0.19,0.21,0.20,0.17,0.18,0.19,0.16,0.17,0.18,0.14,0.19,0.21,0.20,0.21
Guinea-Bissau,MtCO2e,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15
Kyrgyzstan,MtCO2e,4.37,4.28,4.49,3.78,2.02,0.58,0.86,0.67,1.51,0.60,0.72,0.46,0.82,0.95,0.72,0.73,0.79,1.06,1.48,1.46,1.55,1.86,1.95,1.94,0.69,0.63,0.39,0.05,0.10
Brunei,MtCO2e,false,false,false,false,false,false,false,0.00,false,false,false,false,false,false,false,false,false,false,0.12,0.11,false,false,false,0.06,0.09,0.04,0.04,0.08,0.09
Comoros,MtCO2e,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.05,0.06,0.04,0.03,0.04,0.05,0.04,0.04,0.06,0.05,0.06,0.07,0.09,0.09
Gambia,MtCO2e,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.08,0.09
Equatorial Guinea,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.02,0.02,0.02,0.03,0.04,0.08,0.08,0.08,0.09,0.09,0.08
Lebanon,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.06,0.10,0.13,0.08,0.07
Georgia,MtCO2e,0.52,0.95,0.63,0.51,0.44,0.35,0.50,0.33,0.32,0.30,0.20,0.10,0.10,0.09,0.13,0.29,0.31,0.38,0.44,0.22,0.21,0.34,0.39,0.03,0.03,0.04,0.07,0.07,0.05
Djibouti,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.02,0.03,0.05,0.05,0.05
Jamaica,MtCO2e,0.12,0.14,0.06,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.10,0.10,0.17,0.18,0.37,0.45,0.20,0.20,0.16,0.13,0.19,0.08,0.04,0.04,0.04,0.03,0.04
Liberia,MtCO2e,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.10,0.10,0.05,0.03,0.05,0.04,0.05,0.05,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03
Fiji,MtCO2e,0.04,0.05,0.05,0.05,0.04,0.01,0.02,0.02,0.02,0.02,0.02,0.08,0.03,0.05,0.12,false,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Gabon,MtCO2e,0.03,0.04,0.03,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.05,0.05,0.06,0.01,0.01
Kiribati,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Dominica,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,MtCO2e,0.01,0.00,false,false,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Laos,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.00,0.00
Antigua and Barbuda,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bahrain,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Belize,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bhutan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burkina Faso,MtCO2e,0.03,0.03,0.03,0.03,0.03,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burundi,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cape Verde,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Republic of Congo,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Democratic Republic of the Congo,MtCO2e,1.13,1.02,0.88,0.84,0.69,0.63,0.63,0.63,0.75,0.75,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cook Islands,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
El Salvador,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Eritrea,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Grenada,MtCO2e,false,false,false,false,false,false,false,false,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,false,false,false,false,false,false,false,false,false,false,false
Guatemala,MtCO2e,0.08,0.09,0.09,0.09,0.09,0.12,0.11,0.12,0.13,0.14,0.14,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Guinea,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Guyana,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Haiti,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Iraq,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
