Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cambodia,MtCO2e,false,false,false,false,false,0.12,0.13,0.13,0.12,0.14,0.19,0.14,0.22,0.33,0.24,0.26,0.28,0.25,0.13,0.30,0.30,0.26,0.28,0.32,0.35,0.51,0.48,0.56,0.61
Albania,MtCO2e,0.31,0.36,0.28,0.17,0.16,0.25,0.34,0.33,0.24,0.24,0.25,0.27,0.62,0.45,0.39,0.36,0.40,0.27,0.33,0.36,0.32,0.31,0.25,0.32,0.35,0.37,0.39,0.45,0.46
Cameroon,MtCO2e,0.69,0.68,0.54,0.55,0.62,0.57,0.53,0.56,0.61,0.55,0.70,0.60,0.53,0.57,0.54,0.48,0.41,0.38,0.36,0.36,0.37,0.41,0.43,0.45,0.50,0.47,0.47,0.45,0.44
Cyprus,MtCO2e,0.18,0.18,0.21,0.20,0.20,0.20,0.20,0.21,0.21,0.20,0.23,0.23,0.25,0.26,0.24,0.46,0.56,0.54,0.50,0.53,0.48,0.52,0.50,0.43,0.38,0.43,0.44,0.45,0.39
Costa Rica,MtCO2e,0.12,0.10,0.12,0.11,0.13,0.14,0.17,0.19,0.21,0.24,0.20,0.21,0.24,0.19,0.25,0.21,0.24,0.24,0.24,0.24,0.26,0.23,0.23,0.23,0.25,0.26,0.29,0.30,0.31
Burkina Faso,MtCO2e,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.11,0.11,0.12,0.12,0.13,0.14,0.15,0.13,0.11,0.13,0.15,0.16,0.15,0.16,0.18,0.19,0.20,0.21,0.23,0.27,0.29,0.30
Bahrain,MtCO2e,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.25,0.32,0.17,0.18,0.19,0.19,0.21,0.22,0.23,0.19,0.20,0.22,0.23,0.22,0.23,0.23,0.25,0.25,0.27,0.26,0.27,0.27
Bahamas,MtCO2e,0.07,0.17,0.24,0.19,0.17,0.16,0.14,0.13,0.12,0.11,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.12,0.11,0.24,0.61,0.81,0.46,0.40,0.35,0.25,0.27
Afghanistan,MtCO2e,0.08,0.07,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.00,false,false,0.00,0.04,0.07,0.10,0.04,0.07,0.30,0.16,0.11,0.08,0.08,0.06,0.02,0.04,0.13,0.14
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Iran,MtCO2e,40.66,45.08,55.86,54.95,68.99,71.19,76.59,78.91,79.96,80.36,86.30,87.39,95.62,97.54,105.21,109.57,121.21,130.02,122.42,125.39,120.48,123.41,113.46,123.02,122.05,123.99,132.79,124.61,127.41
Germany,MtCO2e,197.26,195.20,179.91,188.15,176.05,177.61,199.23,184.41,176.30,164.50,161.02,177.11,165.00,172.83,163.12,159.66,168.22,129.44,153.55,142.64,149.39,128.46,136.00,146.58,125.79,129.62,133.20,131.57,120.82
India,MtCO2e,56.41,59.28,58.56,58.88,63.49,65.38,67.27,72.90,70.40,73.44,72.68,71.32,74.62,76.71,79.04,79.92,81.35,83.34,85.39,89.56,92.71,96.72,97.45,99.59,103.75,107.82,111.86,113.75,118.84
Japan,MtCO2e,120.16,122.04,126.25,132.32,129.21,137.55,136.67,136.78,140.63,148.51,151.11,150.78,158.09,152.67,152.53,153.40,147.52,142.57,134.07,124.89,126.14,124.86,121.32,125.28,118.92,114.01,111.56,115.44,106.11
France,MtCO2e,85.63,95.24,92.81,89.77,84.32,84.21,93.05,87.61,91.07,92.51,85.70,90.65,84.32,89.11,92.87,90.40,85.63,77.10,83.56,85.50,83.92,70.22,76.79,79.36,64.19,67.28,68.12,67.98,64.42
Italy,MtCO2e,66.98,73.06,68.15,67.77,59.22,65.77,67.52,65.02,68.71,72.94,69.19,72.92,68.95,73.69,75.55,80.30,74.71,68.44,72.45,73.20,76.15,70.39,69.57,69.04,57.78,63.59,63.65,63.46,63.58
South Korea,MtCO2e,63.82,60.29,60.61,62.16,60.11,64.99,68.76,70.09,53.49,63.88,60.17,57.83,59.19,58.30,54.77,57.93,53.18,51.30,50.60,50.04,53.18,52.41,51.31,51.21,46.17,47.95,51.34,51.90,51.09
