Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cuba,MtCO2e,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Bulgaria,MtCO2e,0.20,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Belgium,MtCO2e,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.10,0.10,0.10,0.11,0.10,0.10,0.10,0.10,0.10,0.10
Benin,MtCO2e,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.10
Croatia,MtCO2e,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Costa Rica,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Republic of Congo,MtCO2e,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Armenia,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Côte d'Ivoire,MtCO2e,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05
Albania,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Botswana,MtCO2e,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Bahrain,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cyprus,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Djibouti,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Belize,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Barbados,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Brunei,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahamas,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Cape Verde,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01
Bhutan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andorra,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Comoros,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cook Islands,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Iran,MtCO2e,1.27,1.30,1.32,1.35,1.38,3.21,5.04,6.87,8.71,10.54,12.37,12.56,12.75,12.94,13.14,13.33,13.55,13.78,14.01,14.23,14.46,14.68,14.91,15.13,15.36,15.58,15.75,15.92,16.09
India,MtCO2e,1.90,1.95,1.99,2.04,2.09,2.40,2.70,3.01,3.32,3.63,3.94,4.85,5.76,6.66,7.57,8.48,9.39,10.29,11.20,12.11,13.01,13.18,13.35,13.52,13.69,13.86,14.02,14.19,14.35
Pakistan,MtCO2e,1.17,1.22,1.27,1.31,3.27,3.31,3.35,3.40,3.44,3.48,3.52,3.54,3.57,3.59,3.61,3.64,3.69,3.75,3.81,3.86,3.92,3.97,4.03,4.08,4.13,4.18,4.23,4.27,4.32
Russia,MtCO2e,2.78,2.74,2.56,2.56,2.53,2.49,2.36,2.47,2.46,2.40,2.35,2.39,2.42,2.45,2.45,2.54,2.56,2.65,2.68,2.70,2.72,2.73,2.79,2.77,2.78,2.81,2.92,2.91,2.91
Nigeria,MtCO2e,0.98,1.03,1.07,1.12,1.23,1.28,1.34,1.39,1.45,1.51,1.56,1.62,1.67,1.72,1.77,1.82,1.89,1.96,2.03,2.10,2.17,2.23,2.29,2.35,2.41,2.47,2.54,2.60,2.67
Mexico,MtCO2e,1.22,1.26,1.31,1.35,1.39,1.42,1.44,1.49,1.52,1.57,1.64,1.69,1.72,1.72,1.74,1.76,1.81,1.84,1.86,1.86,1.90,1.95,1.97,2.01,1.94,1.87,1.89,1.91,1.94
Philippines,MtCO2e,0.82,0.84,0.87,0.89,0.92,0.94,0.97,0.99,1.02,1.05,1.07,1.11,1.14,1.18,1.22,1.25,1.29,1.33,1.37,1.41,1.45,1.47,1.50,1.52,1.54,1.57,1.59,1.62,1.64
Peru,MtCO2e,0.33,0.34,0.36,0.37,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.87,0.89,0.91,0.93,0.95,0.97,1.00,1.03,1.06,1.08,1.09,1.10,1.11,1.12,1.13,1.14,1.15,1.16
Morocco,MtCO2e,0.41,0.41,0.41,0.42,0.72,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.95
Myanmar,MtCO2e,0.33,0.34,0.35,0.35,0.36,0.37,0.38,0.39,0.41,0.42,0.43,0.46,0.48,0.50,0.53,0.55,0.59,0.63,0.67,0.70,0.74,0.75,0.76,0.78,0.79,0.80,0.81,0.81,0.82
Poland,MtCO2e,0.72,0.73,0.73,0.72,0.70,0.71,0.71,0.70,0.72,0.72,0.73,0.73,0.73,0.74,0.73,0.73,0.73,0.73,0.72,0.74,0.76,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76
Niger,MtCO2e,0.03,0.05,0.08,0.11,0.14,0.16,0.19,0.22,0.24,0.27,0.30,0.32,0.34,0.36,0.39,0.41,0.43,0.46,0.48,0.51,0.53,0.56,0.58,0.61,0.63,0.66,0.69,0.72,0.75
Paraguay,MtCO2e,7.10,5.34,3.59,1.83,0.08,0.08,0.09,0.09,0.09,0.09,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.57
Nepal,MtCO2e,0.29,0.30,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.41,0.43,0.44,0.45,0.46,0.46,0.47,0.48,0.49,0.50,0.51,0.51,0.52,0.53,0.53,0.54
Romania,MtCO2e,0.51,0.50,0.50,0.51,0.51,0.52,0.51,0.51,0.52,0.53,0.54,0.54,0.52,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.53,0.51,0.52,0.52,0.53,0.53,0.53,0.52
Malaysia,MtCO2e,0.23,0.24,0.25,0.26,0.28,0.29,0.30,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.39,0.40,0.41,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47
Mozambique,MtCO2e,0.10,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.19,0.20,0.21,0.22,0.23,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32,0.33,0.34
Portugal,MtCO2e,0.20,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25
Madagascar,MtCO2e,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.20,0.20,0.21,0.21,0.22,0.23,0.23,0.24
Malawi,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.20,0.21,0.21,0.22
Rwanda,MtCO2e,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.20,0.20
Mali,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.10,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16
New Zealand,MtCO2e,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13
Nicaragua,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11
Papua New Guinea,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.11
Netherlands,MtCO2e,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.10,0.10
Mauritania,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
Norway,MtCO2e,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
Libya,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Moldova,MtCO2e,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Namibia,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08
Oman,MtCO2e,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.08
