Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madagascar,MtCO2e,0.27,0.27,0.27,0.27,0.27,0.27,0.31,0.18,0.24,0.23,0.05,0.15,0.10,0.13,0.18,0.41,0.27,0.20,0.09,0.26,0.50,0.53,0.23,0.37,0.17,0.53,0.38,0.43,0.31
Cameroon,MtCO2e,0.50,0.50,0.50,0.50,0.50,0.50,0.46,0.44,1.04,0.76,0.60,0.31,0.42,1.14,0.49,1.06,0.40,0.36,0.61,0.38,0.49,0.43,0.32,0.39,0.22,0.24,0.40,0.38,0.27
South Africa,MtCO2e,0.19,0.19,0.19,0.19,0.19,0.19,0.51,0.51,0.89,0.60,0.21,0.03,0.05,0.14,0.05,0.18,0.04,0.20,0.12,0.06,0.08,0.06,0.07,0.07,0.10,0.05,0.07,0.11,0.27
Indonesia,MtCO2e,1.47,1.47,1.47,1.47,1.47,1.47,0.70,12.79,8.23,1.03,0.31,0.07,1.35,0.29,1.30,0.43,1.64,0.15,0.09,1.04,0.05,0.31,0.49,0.23,1.13,1.92,0.14,0.03,0.25
Republic of Congo,MtCO2e,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.09,0.10,0.08,0.07,0.05,0.20,0.16,0.17,0.20,0.15,0.12,0.13,0.19,0.24,0.16,0.17,0.08,0.18,0.29,0.14,0.23
Vietnam,MtCO2e,0.35,0.35,0.35,0.35,0.35,0.35,0.15,0.11,0.44,0.23,0.25,0.17,0.33,0.59,0.64,0.57,0.34,0.82,0.25,0.35,0.52,0.30,0.39,0.20,0.38,0.34,0.39,0.20,0.21
Nepal,MtCO2e,0.30,0.30,0.30,0.30,0.30,0.30,0.09,0.07,0.11,0.15,0.11,0.21,0.05,0.37,0.30,0.32,0.18,0.12,0.26,0.38,0.45,0.26,0.46,0.48,0.47,0.07,1.16,0.28,0.20
Malawi,MtCO2e,0.17,0.17,0.17,0.17,0.17,0.17,0.07,0.04,0.06,0.05,0.01,0.13,0.15,0.25,0.17,0.27,0.13,0.19,0.22,0.10,0.33,0.20,0.30,0.19,0.25,0.23,0.34,0.16,0.19
Zimbabwe,MtCO2e,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.10,0.12,0.07,0.00,0.01,0.02,0.03,0.05,0.09,0.06,0.12,0.13,0.09,0.15,0.09,0.14,0.12,0.09,0.15,0.12,0.07,0.12
Honduras,MtCO2e,0.15,0.15,0.15,0.15,0.15,0.15,0.09,0.18,0.26,0.14,0.18,0.01,0.04,0.56,0.01,0.39,0.08,0.09,0.09,0.16,0.11,0.26,0.02,0.15,0.20,0.12,0.18,0.05,0.11
