Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Republic of Congo,MtCO2e,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.08,0.09,0.10,0.10,0.11,0.11,0.12,0.14,0.16,0.18,0.20,0.23,0.27,0.31,0.36,0.40,0.44,0.50,0.55,0.60
Cuba,MtCO2e,0.08,0.08,0.07,0.06,0.05,0.05,0.06,0.07,0.09,0.10,0.11,0.13,0.14,0.15,0.16,0.18,0.20,0.22,0.24,0.26,0.29,0.32,0.35,0.39,0.42,0.45,0.50,0.54,0.58
Brunei,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.10,0.12,0.13,0.16,0.19,0.22,0.25,0.28,0.35,0.43,0.50
Azerbaijan,MtCO2e,false,0.00,0.01,0.01,0.02,0.07,0.08,0.08,0.09,0.09,0.10,0.12,0.15,0.18,0.21,0.24,0.26,0.28,0.29,0.31,0.33,0.35,0.36,0.38,0.40,0.42,0.44,0.46,0.48
Antigua and Barbuda,MtCO2e,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.08,0.10,0.11,0.13,0.15,0.16,0.20,0.23,0.27,0.31,0.34,0.35,0.36,0.37,0.38,0.39,0.41,0.44,0.46
Angola,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.11,0.13,0.14,0.16,0.18,0.21,0.24,0.27,0.30,0.33,0.37,0.40,0.44
Burundi,MtCO2e,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.10,0.11,0.13,0.14,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.39,0.42
Croatia,MtCO2e,1.24,0.86,1.71,2.57,3.43,4.29,3.73,3.17,2.61,2.05,1.49,1.24,1.00,0.76,0.52,0.28,0.31,0.34,0.35,0.35,0.39,0.41,0.41,0.42,0.42,0.43,0.43,0.40,0.37
Bolivia,MtCO2e,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.10,0.12,0.13,0.15,0.16,0.18,0.20,0.23,0.25,0.27,0.29,0.32,0.34
Cyprus,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.09,0.13,0.15,0.18,0.20,0.23,0.25,0.27,0.28,0.29,0.30,0.30,0.28,0.26
Albania,MtCO2e,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.07,0.09,0.11,0.12,0.13,0.14,0.15,0.15,0.16,0.19,0.22,0.25,0.28,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.27,0.25
Armenia,MtCO2e,false,0.00,0.01,0.01,0.01,0.03,0.04,0.06,0.07,0.09,0.10,0.11,0.13,0.14,0.16,0.17,0.19,0.20,0.22,0.24,0.25,0.26,0.26,0.26,0.26,0.26,0.24,0.23,0.21
Botswana,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.09,0.10,0.12,0.13,0.14,0.16,0.17,0.18
Bosnia and Herzegovina,MtCO2e,false,0.01,0.02,0.03,0.03,0.05,0.10,0.15,0.19,0.24,0.28,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.20,0.19,0.19,0.18,0.17
Belize,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.15
Barbados,MtCO2e,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.14
Belarus,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.02,0.04,0.05,0.06,0.07,0.08,0.08,0.08,0.08
Bahamas,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08
Andorra,MtCO2e,false,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07
Djibouti,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04
Bhutan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04
Central African Republic,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04
Cape Verde,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Comoros,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
Cook Islands,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Russia,MtCO2e,52.76,52.00,44.34,33.92,30.58,29.96,26.48,29.20,32.64,33.16,37.29,35.04,27.44,22.07,25.82,26.94,24.32,22.53,23.30,16.40,17.55,15.26,21.95,26.14,28.95,27.08,28.58,28.13,27.67
Mexico,MtCO2e,1.87,1.97,1.70,1.99,1.74,1.84,3.62,4.17,4.28,5.32,5.32,5.21,6.10,6.50,7.60,8.34,10.64,12.29,13.40,14.14,15.26,16.26,16.29,17.38,17.98,18.59,19.35,20.12,20.89
Nigeria,MtCO2e,0.05,0.15,0.24,0.33,0.43,0.52,0.89,1.25,1.62,1.98,2.35,2.49,2.63,2.77,2.91,3.05,3.62,4.19,4.76,5.32,5.89,7.01,8.13,9.25,10.36,11.48,12.81,14.13,15.45
Pakistan,MtCO2e,0.21,0.23,0.25,0.28,0.30,0.32,0.47,0.62,0.77,0.93,1.08,1.18,1.29,1.40,1.50,1.61,1.84,2.07,2.30,2.53,2.76,3.43,4.09,4.75,5.41,6.08,7.68,9.29,10.89
Malaysia,MtCO2e,0.16,0.19,0.21,0.23,0.26,0.28,0.42,0.57,0.71,0.85,0.99,1.31,1.64,1.96,2.28,2.61,3.17,3.73,4.30,4.86,5.42,5.86,6.29,6.73,7.16,7.60,8.18,8.76,9.34
Philippines,MtCO2e,0.15,0.17,0.18,0.20,0.22,0.24,0.37,0.49,0.61,0.74,0.86,0.94,1.02,1.10,1.18,1.26,1.47,1.68,1.89,2.10,2.31,2.85,3.39,3.93,4.47,5.01,6.27,7.53,8.80
Poland,MtCO2e,0.15,0.18,0.21,0.25,0.29,0.34,0.52,0.67,0.76,0.96,1.55,2.12,2.71,3.28,3.94,4.75,5.61,6.21,6.51,6.40,7.04,7.66,8.00,8.40,9.03,9.05,9.03,8.46,7.89
Libya,MtCO2e,0.09,0.11,0.13,0.15,0.17,0.19,0.28,0.38,0.48,0.58,0.67,0.72,0.77,0.82,0.88,0.93,1.08,1.23,1.39,1.54,1.70,2.01,2.32,2.63,2.94,3.25,3.61,3.98,4.34
Oman,MtCO2e,0.03,0.04,0.05,0.06,0.07,0.09,0.13,0.18,0.23,0.28,0.33,0.36,0.38,0.41,0.43,0.46,0.58,0.71,0.83,0.95,1.08,1.25,1.43,1.60,1.77,1.94,2.19,2.43,2.68
Portugal,MtCO2e,0.03,0.05,0.08,0.10,0.12,0.14,0.16,0.22,0.29,0.37,0.45,0.56,0.69,0.82,0.94,1.11,1.29,1.52,1.76,1.96,2.15,2.32,2.48,2.65,2.78,2.93,3.09,2.86,2.64
