Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Morocco,MtCO2e,0.34,0.35,0.37,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.39,0.40,0.40,0.41,0.42,0.44,0.46,0.48,0.50,0.52,0.54,0.55,0.57,0.59,0.61,0.62,0.62,0.63
Qatar,MtCO2e,0.08,0.08,0.09,0.10,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.16,0.19,0.21,0.23,0.29,0.34,0.39,0.45,0.50,0.52,0.53,0.55,0.57,0.59,0.60,0.61,0.62
Austria,MtCO2e,0.43,0.47,0.46,0.46,0.46,0.48,0.50,0.50,0.50,0.51,0.51,0.53,0.53,0.54,0.55,0.57,0.58,0.58,0.58,0.57,0.59,0.60,0.60,0.62,0.58,0.59,0.60,0.59,0.59
Bangladesh,MtCO2e,0.38,0.39,0.39,0.39,0.39,0.41,0.42,0.44,0.45,0.46,0.48,0.49,0.50,0.50,0.51,0.51,0.52,0.53,0.53,0.54,0.54,0.55,0.56,0.56,0.57,0.58,0.58,0.58,0.58
Libya,MtCO2e,0.27,0.28,0.28,0.29,0.30,0.30,0.32,0.34,0.37,0.39,0.41,0.43,0.45,0.46,0.48,0.50,0.51,0.52,0.53,0.54,0.56,0.55,0.55,0.55,0.55,0.55,0.56,0.57,0.57
Colombia,MtCO2e,0.51,0.53,0.55,0.57,0.59,0.56,0.54,0.52,0.49,0.47,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.46,0.46,0.48,0.50,0.51,0.53,0.55,0.55,0.55,0.55
Portugal,MtCO2e,0.46,0.47,0.49,0.52,0.54,0.59,0.63,0.63,0.62,0.72,0.74,0.74,0.63,0.59,0.62,0.66,0.64,0.63,0.63,0.59,0.57,0.53,0.50,0.48,0.48,0.53,0.53,0.53,0.53
Malawi,MtCO2e,0.29,0.28,0.28,0.28,0.28,0.29,0.29,0.30,0.30,0.31,0.32,0.33,0.35,0.36,0.38,0.39,0.38,0.38,0.37,0.36,0.36,0.38,0.40,0.43,0.45,0.47,0.48,0.49,0.49
Algeria,MtCO2e,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.26,0.27,0.28,0.29,0.31,0.33,0.34,0.36,0.37,0.39,0.41,0.43,0.45,0.47,0.47,0.48,0.49
Mali,MtCO2e,0.06,0.06,0.06,0.06,0.06,0.06,0.09,0.12,0.15,0.18,0.20,0.21,0.23,0.24,0.25,0.26,0.26,0.26,0.26,0.25,0.25,0.28,0.31,0.34,0.37,0.40,0.41,0.41,0.42
Madagascar,MtCO2e,0.18,0.19,0.20,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.24,0.25,0.27,0.28,0.28,0.28,0.29,0.29,0.29,0.30,0.32,0.33,0.34,0.36,0.36,0.37,0.37
Denmark,MtCO2e,0.31,0.35,0.34,0.35,0.36,0.38,0.42,0.40,0.39,0.38,0.37,0.38,0.37,0.39,0.37,0.36,0.39,0.38,0.38,0.36,0.38,0.37,0.35,0.36,0.35,0.35,0.37,0.36,0.36
Romania,MtCO2e,0.58,0.51,0.57,0.53,0.52,0.53,0.63,0.65,0.58,0.50,0.55,0.53,0.55,0.58,0.61,0.47,0.48,0.55,0.59,0.54,0.53,0.57,0.57,0.52,0.52,0.50,0.32,0.32,0.32
Benin,MtCO2e,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.17,0.19,0.21,0.23,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.31,0.32
Malaysia,MtCO2e,0.13,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.20,0.20,0.21,0.22,0.22,0.23,0.24,0.24,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.31,0.31
Bulgaria,MtCO2e,0.51,0.36,0.34,0.34,0.32,0.32,0.32,0.30,0.31,0.29,0.29,0.30,0.30,0.31,0.31,0.32,0.34,0.33,0.31,0.29,0.30,0.32,0.31,0.28,0.29,0.31,0.30,0.30,0.29
Niger,MtCO2e,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.21,0.22,0.24,0.26,0.27,0.28,0.28,0.28
Paraguay,MtCO2e,0.18,0.20,0.22,0.24,0.26,0.25,0.24,0.23,0.21,0.20,0.19,0.19,0.19,0.20,0.20,0.20,0.21,0.22,0.22,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.26,0.26,0.26
New Zealand,MtCO2e,0.20,0.20,0.22,0.22,0.24,0.24,0.24,0.25,0.26,0.27,0.31,0.29,0.30,0.32,0.33,0.34,0.33,0.32,0.31,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25
Cuba,MtCO2e,0.35,0.32,0.29,0.26,0.23,0.28,0.33,0.31,0.30,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Belarus,MtCO2e,0.60,0.60,0.51,0.46,0.35,0.31,0.33,0.32,0.33,0.30,0.31,0.93,0.20,0.19,0.20,0.21,0.22,0.22,0.23,0.21,0.21,0.23,0.24,0.27,0.28,0.26,0.23,0.23,0.23
Burkina Faso,MtCO2e,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.12,0.11,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.20,0.20,0.21,0.21,0.21,0.21
Croatia,MtCO2e,0.23,0.20,0.18,0.19,0.19,0.18,0.23,0.23,0.21,0.26,0.27,0.27,0.23,0.24,0.28,0.24,0.24,0.25,0.24,0.24,0.24,0.22,0.21,0.21,0.20,0.21,0.21,0.21,0.21
Burundi,MtCO2e,0.16,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.20,0.21,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.20,0.20,0.21,0.21
Norway,MtCO2e,0.16,0.16,0.16,0.17,0.18,0.19,0.20,0.21,0.20,0.21,0.20,0.20,0.21,0.21,0.20,0.18,0.18,0.19,0.19,0.19,0.20,0.20,0.21,0.21,0.20,0.20,0.21,0.21,0.21
Bolivia,MtCO2e,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.18,0.19,0.19,0.19,0.19
Peru,MtCO2e,0.30,0.32,0.33,0.34,0.35,0.33,0.32,0.31,0.30,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.22,0.21,0.20,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18
Angola,MtCO2e,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.16,0.17,0.17,0.17,0.18
Nicaragua,MtCO2e,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
