Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,MtCO2e,1.12,0.97,0.83,0.88,0.76,0.77,0.75,0.71,0.69,0.69,0.67,0.67,0.64,0.62,0.61,0.62,0.62,0.62,0.60,0.60,0.65,0.61,0.58,0.57,0.57,0.58,0.57,0.57,0.57
Côte d'Ivoire,MtCO2e,0.00,0.69,1.38,2.06,2.75,3.44,4.12,4.81,5.49,6.18,6.87,6.33,5.80,5.27,4.74,4.20,3.67,3.14,2.60,2.07,1.54,1.01,0.47,0.45,0.43,0.41,0.46,0.51,0.56
Austria,MtCO2e,0.60,0.46,0.49,0.47,0.34,0.34,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.30,0.28,0.29,0.29,0.27,0.28,0.28,0.28,0.29,0.28,0.27,0.26,0.26,0.26,0.25
Croatia,MtCO2e,0.43,0.35,0.32,0.33,0.30,0.30,0.29,0.28,0.27,0.25,0.24,0.25,0.26,0.26,0.26,0.26,0.28,0.29,0.28,0.27,0.27,0.25,0.22,0.20,0.19,0.20,0.20,0.20,0.20
Republic of Congo,MtCO2e,0.03,0.03,0.03,0.03,0.03,0.05,0.08,0.10,0.12,0.15,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.16,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.18,0.19
Denmark,MtCO2e,0.13,0.17,0.17,0.17,0.18,0.18,0.19,0.22,0.21,0.28,0.25,0.26,0.24,0.24,0.26,0.24,0.23,0.22,0.20,0.16,0.16,0.13,0.12,0.11,0.11,0.10,0.10,0.10,0.10
Belize,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.04,0.08,0.12,0.16,0.20,0.17,0.15,0.13,0.11,0.09,0.09,0.09,0.09
Barbados,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Cameroon,MtCO2e,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
Benin,MtCO2e,0.18,0.17,0.17,0.16,0.15,0.14,0.12,0.10,0.08,0.06,0.04,0.03,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cyprus,MtCO2e,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albania,MtCO2e,0.33,0.27,0.20,0.14,0.08,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
