Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Norway,MtCO2e,1.09,0.71,0.93,0.66,0.71,0.82,0.82,0.77,0.88,1.26,1.31,1.04,1.09,1.15,1.15,1.09,1.09,1.09,0.93,0.93,1.09,1.20,1.26,0.55,0.55,0.72,0.72,0.54,0.54
Azerbaijan,MtCO2e,4.03,14.97,1.81,15.86,14.06,13.29,13.18,13.02,13.02,12.91,12.58,12.58,12.14,5.96,5.96,6.89,3.99,false,false,false,false,1.64,1.20,1.20,0.93,0.54,0.54,0.45,0.36
Ghana,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.38,0.27,0.16,0.11,0.18,0.27,0.56,0.36
Kuwait,MtCO2e,1.31,28.17,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.82,1.26,2.02,1.81,1.75,1.59,0.44,0.38,0.38,0.38,0.38,0.44,0.38,0.38,0.40,0.40,0.27,0.27
New Zealand,MtCO2e,0.11,0.11,0.11,false,0.05,0.05,0.11,0.16,0.16,0.11,0.05,0.11,0.05,0.05,0.04,0.04,0.04,0.16,0.33,0.33,0.33,0.33,0.22,0.11,0.11,0.33,0.27,0.25,0.25
Bolivia,MtCO2e,0.22,0.22,1.04,1.75,2.41,0.88,0.88,0.88,0.88,0.66,0.49,0.33,0.44,0.55,0.33,0.33,0.27,0.27,0.27,0.27,0.27,0.38,0.44,0.44,0.38,0.34,0.27,0.18,0.18
Denmark,MtCO2e,0.22,0.44,0.49,0.38,0.38,0.33,0.38,0.49,0.38,0.82,0.49,0.05,0.44,0.49,0.55,0.38,0.38,0.33,0.27,0.16,0.22,0.16,0.16,0.22,0.16,0.16,0.18,0.18,0.16
Israel,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.09
Chad,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.02,0.05,0.05,0.05
Afghanistan,MtCO2e,0.33,0.27,0.02,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Albania,MtCO2e,false,false,false,false,0.05,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Andorra,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Barbados,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.04,false,0.04,0.04,0.02,0.02,0.02,0.02,0.02
Chile,MtCO2e,0.33,0.33,1.20,0.16,0.22,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.11,0.11,0.33,0.38,0.05,0.05,0.05,0.11,0.11,0.05,0.04,0.04,0.02,0.02
Cuba,MtCO2e,false,false,false,false,false,false,false,0.27,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02
Antigua and Barbuda,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Armenia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Austria,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bahamas,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bahrain,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bangladesh,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Belarus,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Belgium,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Belize,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Benin,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bhutan,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Bosnia and Herzegovina,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Botswana,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Brunei,MtCO2e,0.66,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.16,0.16,0.27,false,false,false,false
Bulgaria,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burkina Faso,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Burundi,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cambodia,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Cape Verde,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
