2013.12   -1387.47      40.16
2013.30   -1128.10      41.36
2013.37   -1230.14      37.57
2013.46   -1238.69      38.44
2013.54   -1200.18      37.79
2013.79   -1291.84      38.01
2013.87   -1339.17      36.03
2013.96   -1390.89      35.45
2014.02   -1499.85      40.12
2014.20   -1607.10      32.35
2014.29   -1526.60      33.19
2014.37   -1432.79      33.14
2014.45   -1476.80      35.04
2014.62   -1524.35      33.51
2014.71   -1352.11      33.00
2014.79   -1440.83      31.99
2014.88   -1516.37      31.56
2015.06   -1820.43      35.31
2015.12   -1896.98      56.93
2015.20   -1863.26      30.75
2015.29   -1841.55      32.24
2015.32   -1768.98      34.83
2015.53   -1735.51      37.19
2015.62   -1887.09      34.62
2015.70   -1839.60      36.97
2015.98   -1884.58      36.86
2016.04   -1906.51      35.36
2016.12   -1982.18      34.10
2016.21   -1917.91      35.08
2016.38   -1781.57      37.40
2016.46   -1764.11      34.43
2016.54   -1645.03      34.27
2016.64   -1591.03      36.53
2016.91   -1661.59      61.29
2016.98   -1575.56      61.17
2017.06   -1595.03      60.59
2017.25   -1916.40      61.89
2017.31   -1838.98      61.26
2017.36   -1803.77      59.87
2017.44   -1801.00      59.78
2018.45   -1973.36      34.35
2018.52   -1988.57      31.43
2018.83   -2247.89      30.30
2018.87   -2212.61      28.20
2018.96   -2265.72      27.41
2019.04   -2356.56      27.15
2019.12   -2399.81      27.11
2019.20   -2303.58      26.87
2019.29   -2123.46      26.88
2019.37   -2176.01      26.79
2019.45   -2267.97      26.75
2019.54   -2172.30      26.79
2019.62   -2217.79      26.79
2019.71   -2093.27      26.85
2019.79   -2276.37      26.81
2019.87   -2337.33      26.74
2019.96   -2383.19      26.73
2020.04   -2692.18      26.93
2020.12   -2797.87      26.96
2020.21   -2618.03      26.75
2020.29   -2525.62      26.79
2020.37   -2446.86      26.76
2020.46   -2414.33      26.74
2020.54   -2347.13      26.79
2020.62   -2239.85      26.78
2020.71   -2427.36      27.45
2020.79   -2526.83      28.22
2020.87   -2573.62      29.13
2020.96   -2727.05      29.84
2021.04   -3042.96      30.71
2021.12   -2726.40      31.63
2021.20   -2679.35      32.27
2021.29   -2469.84      33.13
2021.37   -2452.35      39.16
2021.46   -2617.97      45.80
2021.54   -2665.70      52.43
2021.62   -2617.91      57.97
