Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,495927.0,509762.0,523082.0,536212.0,549590.0,563698.0,578661.0,594927.0,613697.0,636540.0,664610.0,697550.0,735140.0,778708.0,829846.0,889157.0,958423.0,1035924.0,1114645.0,1185075.0,1240864.0,1278153.0,1299942.0,1315029.0,1336073.0,1371853.0,1425793.0,1494077.0,1569440.0
Bahamas,256227.0,261007.0,266028.0,271065.0,275849.0,280179.0,283980.0,287363.0,290600.0,294063.0,298045.0,302618.0,307657.0,313123.0,318893.0,324848.0,331032.0,337387.0,343680.0,349600.0,354936.0,359583.0,363581.0,367162.0,370625.0,374200.0,377923.0,381749.0,385635.0
Bosnia and Herzegovina,4463422.0,4369320.0,4233673.0,4078940.0,3936527.0,3829049.0,3764419.0,3736070.0,3734338.0,3743353.0,3751176.0,3755514.0,3759389.0,3762179.0,3764194.0,3765332.0,3765422.0,3762791.0,3754261.0,3735945.0,3705478.0,3661173.0,3604972.0,3542598.0,3482106.0,3429362.0,3386263.0,3351534.0,3323929.0
Belarus,10189000.0,10194000.0,10216000.0,10239000.0,10227000.0,10194000.0,10160000.0,10117000.0,10069000.0,10026738.0,9979610.0,9928549.0,9865548.0,9796749.0,9730146.0,9663915.0,9604924.0,9560953.0,9527985.0,9506765.0,9490583.0,9473172.0,9464495.0,9465997.0,9474511.0,9489616.0,9501534.0,9498264.0,9483499.0
Belize,187554.0,191136.0,194324.0,197625.0,201679.0,206962.0,213660.0,221575.0,230248.0,238979.0,247310.0,255068.0,262387.0,269428.0,276516.0,283798.0,291338.0,299031.0,306822.0,314655.0,322465.0,330236.0,338001.0,345707.0,353366.0,360926.0,368399.0,375775.0,383071.0
Bolivia,6864839.0,7011456.0,7160917.0,7312857.0,7466792.0,7622334.0,7779268.0,7937453.0,8096761.0,8257066.0,8418270.0,8580244.0,8742822.0,8905820.0,9069044.0,9232301.0,9395449.0,9558438.0,9721457.0,9884790.0,10048597.0,10212951.0,10377677.0,10542375.0,10706517.0,10869732.0,11031822.0,11192853.0,11353140.0
Brazil,149003225.0,151648007.0,154259382.0,156849086.0,159432717.0,162019889.0,164614682.0,167209046.0,169785253.0,172318674.0,174790339.0,177196051.0,179537523.0,181809244.0,184006479.0,186127108.0,188167353.0,190130445.0,192030362.0,193886505.0,195713637.0,197514541.0,199287292.0,201035904.0,202763744.0,204471759.0,206163056.0,207833825.0,209469320.0
Barbados,260933.0,261912.0,262890.0,263869.0,264893.0,265955.0,267047.0,268183.0,269334.0,270455.0,271511.0,272494.0,273423.0,274331.0,275283.0,276320.0,277475.0,278701.0,279946.0,281107.0,282131.0,282987.0,283698.0,284294.0,284825.0,285327.0,285798.0,286229.0,286640.0
Brunei,258714.0,266208.0,273888.0,281684.0,289452.0,297112.0,304620.0,311962.0,319135.0,326214.0,333166.0,340037.0,346777.0,353295.0,359434.0,365112.0,370262.0,374967.0,379418.0,383902.0,388634.0,393687.0,398997.0,404414.0,409778.0,414914.0,419791.0,424481.0,428960.0
Bhutan,530801.0,534637.0,534525.0,532590.0,531905.0,534629.0,541471.0,551713.0,564378.0,577886.0,591014.0,603643.0,616025.0,627840.0,638809.0,648744.0,657404.0,664873.0,671611.0,678329.0,685502.0,693297.0,701582.0,710235.0,719053.0,727885.0,736706.0,745563.0,754396.0
Botswana,1286756.0,1326321.0,1363541.0,1399110.0,1434061.0,1469173.0,1504724.0,1540424.0,1575827.0,1610260.0,1643333.0,1674674.0,1704637.0,1734387.0,1765533.0,1799077.0,1835911.0,1875458.0,1915636.0,1953495.0,1987106.0,2015406.0,2039551.0,2062551.0,2088619.0,2120716.0,2159925.0,2205076.0,2254067.0
Central African Republic,2806740.0,2878507.0,2959236.0,3046148.0,3135017.0,3222662.0,3308235.0,3392432.0,3475485.0,3558019.0,3640421.0,3722016.0,3802129.0,3881185.0,3959883.0,4038380.0,4118075.0,4198004.0,4273368.0,4337623.0,4386765.0,4418639.0,4436411.0,4447945.0,4464171.0,4493171.0,4537683.0,4596023.0,4666375.0
Canada,27691138.0,28037420.0,28371264.0,28684764.0,29000663.0,29302311.0,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020902.0,31360079.0,31644028.0,31940655.0,32243753.0,32571174.0,32889025.0,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545295.0,37065178.0
Switzerland,6715519.0,6799978.0,6875364.0,6938265.0,6993795.0,7040687.0,7071850.0,7088906.0,7110001.0,7143991.0,7184250.0,7229854.0,7284753.0,7339001.0,7389625.0,7437115.0,7483934.0,7551117.0,7647675.0,7743831.0,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8514329.0
Chile,13274617.0,13495255.0,13719818.0,13944934.0,14166346.0,14380864.0,14587367.0,14786227.0,14977736.0,15162801.0,15342350.0,15516112.0,15684413.0,15849649.0,16014972.0,16182713.0,16354507.0,16530201.0,16708255.0,16886184.0,17062531.0,17233584.0,17400359.0,17571511.0,17758969.0,17969356.0,18209072.0,18470435.0,18729166.0
China,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0,1392730000.0
