,Code,Coastal population,Continent,Country,Littered Plastic Waste,"Plastic waste generation (tonnes, total)",Littered waste(%)
84,JPN,115228891.0,Asia,Japan,143120.88,7993489.0,1.7904682173203716
85,JOR,55392.0,Asia,Jordan,58.035,377506.0,0.01537326559048068
86,KEN,2729945.0,Africa,Kenya,535.09,407506.0,0.1313084960712235
87,KIR,94487.0,Oceania,Kiribati,70.445,3859.0,1.8254729204457112
88,KWT,2293604.0,Asia,Kuwait,11444.575,750690.0,1.5245407558379624
89,LVA,1432078.0,Europe,Latvia,1286.625,94935.0,1.3552693948491072
90,LBN,3890871.0,Asia,Lebanon,2664.5,148807.0,1.7905743681412836
91,LBR,2148271.0,Africa,Liberia,1312.54,121050.0,1.084295745559686
92,LBY,4050128.0,Africa,Libya,4239.84,324250.0,1.3075836545875097
93,LTU,443894.0,Europe,Lithuania,425.955,149227.0,0.28544097247817085
94,MAC,257911.0,Asia,Macao,690.5799999999999,72126.0,0.9574633280647755
95,MDG,7062413.0,Africa,Madagascar,804.095,123526.0,0.6509520262940596
96,MYS,22890252.0,Asia,Malaysia,32891.61,2031675.0,1.6189405293661634
97,MDV,392567.0,Asia,Maldives,920.53,43134.0,2.1341169379144063
98,MLT,404707.0,Europe,Malta,628.53,32377.0,1.9412854804336412
99,MHL,58086.0,Oceania,Marshall Islands,81.03,3674.0,2.2054980947196516
101,MRT,1005481.0,Africa,Mauritania,328.5,59287.0,0.5540843692546427
102,MUS,1255952.0,Africa,Mauritius,2098.02,104971.0,1.998666298310962
103,MEX,22647771.0,Americas,Mexico,14248.14,3725463.0,0.3824528655901293
104,FSM,154895.0,Oceania,Micronesia (country),115.705,3895.0,2.9706033376123235
105,MCO,34050.0,Europe,Monaco,62.415,3412.0,1.8292790152403282
106,MNE,260336.0,Europe,Montenegro,272.655,32557.0,0.8374696685812574
108,MAR,17303431.0,Africa,Morocco,9128.65,863555.0,1.0571011690048695
109,MOZ,9566559.0,Africa,Mozambique,1070.545,132612.0,0.8072761137755256
110,MMR,18988522.0,Asia,Myanmar,10337.895,1373018.0,0.7529322266714639
111,NAM,155084.0,Africa,Namibia,162.42499999999998,114222.0,0.14220115214231932
112,NRU,15289.0,Oceania,Nauru,16.06,527.0,3.0474383301707775
113,NLD,8971770.0,Europe,Netherlands,27699.85,2571398.0,1.0772291959471074
114,NCL,257904.0,Oceania,New Caledonia,472.31,22995.0,2.0539682539682538
115,NZL,3862054.0,Oceania,New Zealand,9285.6,525630.0,1.7665658352833742
116,NIC,3482653.0,Americas,Nicaragua,3621.53,299480.0,1.209272739414986
117,NGA,27477112.0,Africa,Nigeria,20520.665,5961750.0,0.3442053927118715
120,PRK,17327483.0,Asia,North Korea,6792.65,484700.0,1.401413245306375
121,MNP,106256.0,Oceania,Northern Mariana Islands,194.545,5006.0,3.8862365161805834
122,NOR,4131679.0,Europe,Norway,8403.03,499682.0,1.6816755456470318
123,OMN,2597556.0,Asia,Oman,1586.29,93251.0,1.7010970391738427
124,PAK,14581952.0,Asia,Pakistan,10890.14,6412210.0,0.1698344252605576
125,PLW,23446.0,Oceania,Palau,24.455,1076.0,2.2727695167286246
126,PSE,3045258.0,Asia,Palestine,1396.125,87636.0,1.5930953033000137
127,PAN,3249531.0,Americas,Panama,3429.905,192818.0,1.7788302959267288
128,PNG,2747514.0,Oceania,Papua New Guinea,2052.03,267234.0,0.767877590426368
129,PER,13765608.0,Americas,Peru,14410.2,1543879.0,0.9333762555226154
130,PHL,83446862.0,Asia,Philippines,45534.845,2565766.0,1.7747076311713539
131,POL,3272933.0,Europe,Poland,2302.42,1346905.0,0.17094152891258108
132,PRT,8507951.0,Europe,Portugal,16402.37,1022683.0,1.603856718064151
133,PRI,4249848.0,Americas,Puerto Rico,7785.45,342306.0,2.2744123678813692
134,QAT,653007.0,Asia,Qatar,757.74,103933.0,0.7290658404933947
136,ROU,875170.0,Europe,Romania,262.435,310385.0,0.08455144417417079
137,RUS,10812537.0,Europe,Russia,8772.045,5839685.0,0.1502143523152362
139,KNA,36102.0,Americas,Saint Kitts and Nevis,171.54999999999998,12280.0,1.396986970684039
140,LCA,163227.0,Americas,Saint Lucia,619.405,32882.0,1.8837205766072624
142,VCT,120149.0,Americas,Saint Vincent and the Grenadines,193.085,8818.0,2.1896688591517353
143,WSM,168025.0,Oceania,Samoa,125.56,7000.0,1.7937142857142858
144,STP,163740.0,Africa,Sao Tome and Principe,122.275,6571.0,1.8608278800791356
145,SAU,3593471.0,Asia,Saudi Arabia,4075.225,1561618.0,0.2609617076647426
146,SEN,8125063.0,Africa,Senegal,6068.125,485586.0,1.2496499075344016
147,SYC,91361.0,Africa,Seychelles,237.615,11730.0,2.025703324808184
148,SLE,2887017.0,Africa,Sierra Leone,848.625,96655.0,0.8779938958150122
149,SGP,4492494.0,Asia,Singapore,6328.005,359483.0,1.760307163342912
150,SXM,37429.0,Americas,Sint Maarten (Dutch part),68.62,3263.0,2.1029727244866687
151,SVN,336594.0,Europe,Slovenia,355.145,108421.0,0.32756108134033074
152,SLB,618678.0,Oceania,Solomon Islands,462.09,19842.0,2.328847898397339
153,SOM,5971169.0,Africa,Somalia,2340.745,237569.0,0.9852905892603833
154,ZAF,12899201.0,Africa,South Africa,22505.17,4465798.0,0.5039450955909783
155,KOR,41654619.0,Asia,South Korea,33746.805,2025772.0,1.6658738002104876
156,ESP,22771488.0,Europe,Spain,45852.395,4709157.0,0.9736858422855725
157,LKA,14568174.0,Asia,Sri Lanka,37695.01,2621606.0,1.4378594647708314
158,SDN,752529.0,Africa,Sudan,562.1,1292740.0,0.04348128780729304
159,SUR,402263.0,Americas,Suriname,477.42,31300.0,1.5253035143769968
160,SWE,6202234.0,Europe,Sweden,2150.58,164305.0,1.3088950427558503
161,SYR,3621997.0,Asia,Syria,4690.98,1365594.0,0.34351205409514096
163,TZA,6688695.0,Africa,Tanzania,1136.245,386998.0,0.2936048765109897
164,THA,26043442.0,Asia,Thailand,27262.945,3532495.0,0.7717758977719714
165,TGO,1991642.0,Africa,Togo,827.8199999999999,135294.0,0.6118674885804248
167,TON,102872.0,Oceania,Tonga,165.71,8476.0,1.9550495516753186
168,TTO,1358433.0,Americas,Trinidad and Tobago,35628.38,1745123.0,2.0415970679430617
169,TUN,7274973.0,Africa,Tunisia,7615.724999999999,559235.0,1.3618112242617146
170,TUR,34042862.0,Asia,Turkey,52564.38,5596657.0,0.9392103178736878
171,TCA,22570.0,Americas,Turks and Caicos Islands,41.245,2851.0,1.4466853735531393
172,TUV,11563.0,Oceania,Tuvalu,12.045,554.0,2.1741877256317688
173,UKR,6812799.0,Europe,Ukraine,5088.099999999999,1724509.0,0.2950463001352849
174,ARE,2018302.0,Asia,United Arab Emirates,2922.555,600741.0,0.48649168277177685
175,GBR,43258889.0,Europe,United Kingdom,67549.09,4925590.0,1.371390838457931
176,USA,112925034.0,Americas,United States,275424.62,37825550.0,0.7281443891760992
177,URY,2433597.0,Americas,Uruguay,4458.11,310379.0,1.4363439536824332
178,VUT,251851.0,Oceania,Vanuatu,539.835,25443.0,2.1217427190189837
179,VEN,16094897.0,Americas,Venezuela,29484.7,2669998.0,1.1042967073383576
180,VNM,55858245.0,Asia,Vietnam,41716.58,3268227.0,1.2764284732976015
181,YEM,6048920.0,Asia,Yemen,4517.605,887497.0,0.5090276361497559
