,Country,Code,Continent
193,Sao Tome and Principe,STP,Africa
194,Saudi Arabia,SAU,Asia
195,Senegal,SEN,Africa
196,Serbia,SRB,Europe
197,Seychelles,SYC,Africa
198,Sierra Leone,SLE,Africa
199,Singapore,SGP,Asia
200,Sint Maarten (Dutch part),SXM,Americas
201,Slovakia,SVK,Europe
202,Slovenia,SVN,Europe
203,Solomon Islands,SLB,Oceania
204,Somalia,SOM,Africa
205,South Africa,ZAF,Africa
206,South Georgia and the South Sandwich Islands,SGS,
207,South Sudan,SSD,Africa
208,Spain,ESP,Europe
209,Sri Lanka,LKA,Asia
210,Sudan,SDN,Africa
211,Suriname,SUR,Americas
212,Svalbard and Jan Mayen,SJM,Europe
213,Swaziland,SWZ,Africa
214,Sweden,SWE,Europe
215,Switzerland,CHE,Europe
216,Syrian Arab Republic,SYR,Asia
217,"Taiwan, Province of China",TWN,Asia
218,Tajikistan,TJK,Asia
219,"Tanzania, United Republic of",TZA,Africa
220,Thailand,THA,Asia
221,Timor-Leste,TLS,Asia
222,Togo,TGO,Africa
223,Tokelau,TKL,Oceania
224,Tonga,TON,Oceania
225,Trinidad and Tobago,TTO,Americas
226,Tunisia,TUN,Africa
227,Turkey,TUR,Asia
228,Turkmenistan,TKM,Asia
229,Turks and Caicos Islands,TCA,Americas
230,Tuvalu,TUV,Oceania
231,Uganda,UGA,Africa
232,Ukraine,UKR,Europe
233,United Arab Emirates,ARE,Asia
234,United Kingdom of Great Britain and Northern Ireland,GBR,Europe
235,United States,USA,Americas
236,United States Minor Outlying Islands,UMI,
237,Uruguay,URY,Americas
238,Uzbekistan,UZB,Asia
239,Vanuatu,VUT,Oceania
240,Venezuela (Bolivarian Republic of),VEN,Americas
241,Viet Nam,VNM,Asia
242,Virgin Islands (British),VGB,Americas
243,Virgin Islands (U.S.),VIR,Americas
244,Wallis and Futuna,WLF,Oceania
245,Western Sahara,ESH,Africa
246,Yemen,YEM,Asia
247,Zambia,ZMB,Africa
248,Zimbabwe,ZWE,Africa
