,Country,Code,"Plastic waste generation (tonnes, total)",Population,Continent,Plastic/Population,% share
155,Tunisia,TUN,559235,11839918.0,Africa,0.04723301293133956,0.2061471184475003
156,Turkey,TUR,5596657,84495243.0,Asia,0.06623635605142883,2.0630588455462044
158,Tuvalu,TUV,554,11817.0,Oceania,0.046881611238046884,0.00020421737484226695
159,Ukraine,UKR,1724509,43686577.0,Europe,0.039474573620176284,0.6356944059058898
160,United Arab Emirates,ARE,600741,9910892.0,Asia,0.06061422120228936,0.22144720213017743
161,United Kingdom,GBR,4925590,67948282.0,Europe,0.07249028018103533,1.8156878327605086
162,United States,USA,37825550,331341050.0,Americas,0.11415896098596899,13.943383615460128
163,Uruguay,URY,310379,3475842.0,Americas,0.0892960612133693,0.11441296856709021
164,Vanuatu,VUT,25443,308337.0,Oceania,0.08251685655630041,0.00937888568251227
165,Venezuela,VEN,2669998,28421581.0,Americas,0.09394262761103965,0.9842237949352042
166,Vietnam,VNM,3268227,97490013.0,Asia,0.03352371078255985,1.2047450150336059
167,Yemen,YEM,887497,29935468.0,Asia,0.02964700601974888,0.32715217963968846
