dt,Region,temp_min,temp_max,temp_mean,temp_median
01-01-1909,7.Tundra,-22.066999999999997,-4.197,-11.220333333333334,-7.397
01-01-1910,1.Equitorial,16.048,27.259,24.50015384615384,25.468000000000004
01-01-1910,2.Savanna,10.389000000000001,25.997,23.082440677966098,23.836
01-01-1910,3.Mid-Latitude Desert,4.547,26.779,17.364675,17.619500000000002
01-01-1910,4.Mediterranean,-11.127,23.316,5.584209876543208,5.205
01-01-1910,5.Temperate,-25.186999999999998,10.449000000000002,-3.625803571428571,-1.3319999999999999
01-01-1910,6.Continental,-27.162,5.296,-4.592026315789475,1.276
01-01-1910,7.Tundra,-18.448,-6.532,-11.658000000000001,-9.994
01-01-1911,1.Equitorial,16.27,27.522,24.58316923076924,25.14
01-01-1911,2.Savanna,10.472000000000001,26.154,23.274406779661017,23.926
01-01-1911,3.Mid-Latitude Desert,3.7030000000000003,27.116,18.414441666666665,19.101
01-01-1911,4.Mediterranean,-9.776,22.295,4.3239629629629635,3.67
01-01-1911,5.Temperate,-24.381,7.819,-5.376732142857145,-3.4670000000000005
01-01-1911,6.Continental,-28.383000000000003,6.06,-5.992815789473684,-0.968
01-01-1911,7.Tundra,-18.745,-4.8180000000000005,-11.316666666666668,-10.387
01-01-1912,1.Equitorial,16.928,27.499000000000002,25.095415384615393,25.873
01-01-1912,2.Savanna,11.414000000000001,26.663,23.344152542372886,23.706
01-01-1912,3.Mid-Latitude Desert,2.9730000000000003,27.84,17.824433333333335,18.423499999999997
01-01-1912,4.Mediterranean,-10.334000000000001,22.625999999999998,4.8703456790123445,3.47
01-01-1912,5.Temperate,-22.180999999999997,11.258,-4.539553571428569,-3.9955
01-01-1912,6.Continental,-23.195,5.481,-5.8719210526315795,-2.2769999999999997
01-01-1912,7.Tundra,-15.040999999999999,-8.007,-11.248333333333333,-10.697000000000001
01-01-1913,1.Equitorial,16.413,27.871,24.97450769230769,25.691999999999997
01-01-1913,2.Savanna,10.707,26.776999999999997,23.06289830508475,23.59
01-01-1913,3.Mid-Latitude Desert,4.058,27.133000000000003,17.504625,18.258
01-01-1913,4.Mediterranean,-10.8,23.142,5.208950617283953,4.709
01-01-1913,5.Temperate,-24.444000000000003,11.624,-3.7257857142857156,-2.211
01-01-1913,6.Continental,-28.557,5.915,-4.77121052631579,-0.302
01-01-1913,7.Tundra,-19.785999999999998,-7.247999999999999,-12.719999999999999,-11.126
01-01-1914,1.Equitorial,16.517,28.48,25.2721846153846,25.945
01-01-1914,2.Savanna,10.97,27.158,23.34818644067796,23.94
01-01-1914,3.Mid-Latitude Desert,5.892,27.443,18.395999999999994,18.502
01-01-1914,4.Mediterranean,-7.19,22.717,6.6850617283950635,5.275
01-01-1914,5.Temperate,-19.817999999999998,7.7170000000000005,-3.9028749999999994,-3.2365
01-01-1914,6.Continental,-23.833000000000002,5.895,-4.58128947368421,-2.759
01-01-1914,7.Tundra,-16.209,-6.471,-12.496666666666664,-14.81
01-01-1915,1.Equitorial,17.382,27.74,25.162507692307692,25.81
01-01-1915,2.Savanna,11.567,26.59,23.575491525423732,24.26
01-01-1915,3.Mid-Latitude Desert,4.762,28.383000000000003,17.950841666666676,18.554499999999997
01-01-1915,4.Mediterranean,-11.696,21.787,6.068641975308643,4.7010000000000005
01-01-1915,5.Temperate,-29.159000000000002,9.621,-3.838642857142857,-0.43400000000000005
01-01-1915,6.Continental,-30.963,5.612,-5.193289473684213,-0.3185
01-01-1915,7.Tundra,-12.195,-6.617999999999999,-9.973666666666665,-11.107999999999999
01-01-1916,1.Equitorial,15.982000000000001,27.982,24.936076923076918,25.831
01-01-1916,2.Savanna,10.525,26.337,23.194610169491533,23.843000000000004
01-01-1916,3.Mid-Latitude Desert,4.21,27.233,17.76705833333333,18.0955
01-01-1916,4.Mediterranean,-9.299,21.868000000000002,5.917123456790125,5.478
01-01-1916,5.Temperate,-21.391,10.738,-2.522821428571429,-1.077
01-01-1916,6.Continental,-24.906,9.155,-2.5007368421052636,3.29
01-01-1916,7.Tundra,-15.784,-3.463,-9.785333333333334,-10.109
01-01-1917,1.Equitorial,15.939,28.392,24.745000000000005,25.258000000000003
01-01-1917,2.Savanna,10.105,26.201,23.10079661016949,23.823
01-01-1917,3.Mid-Latitude Desert,2.7739999999999996,29.15,17.50342499999999,17.83
01-01-1917,4.Mediterranean,-12.231,23.523000000000003,5.37637037037037,4.045
01-01-1917,5.Temperate,-24.503,8.753,-4.71542857142857,-2.4365
01-01-1917,6.Continental,-24.842,3.822,-6.87734210526316,-3.0300000000000002
01-01-1917,7.Tundra,-19.534000000000002,-11.147,-14.889000000000001,-13.985999999999999
01-01-1918,1.Equitorial,15.731,27.221,24.077323076923076,24.655
01-01-1918,2.Savanna,9.662,26.21,22.396186440677965,22.825
01-01-1918,3.Mid-Latitude Desert,3.011,27.831999999999997,16.587925000000002,17.258
01-01-1918,4.Mediterranean,-10.585999999999999,22.926,4.5580370370370344,1.919
01-01-1918,5.Temperate,-22.419,9.925,-4.139982142857143,-1.4609999999999999
01-01-1918,6.Continental,-22.035,5.683,-3.927684210526317,0.0025000000000000022
01-01-1918,7.Tundra,-17.075,-7.475,-13.418333333333335,-15.705
01-01-1919,1.Equitorial,17.289,28.599,25.464030769230764,26.101999999999997
01-01-1919,2.Savanna,12.225,26.819000000000003,23.867355932203385,24.546999999999997
01-01-1919,3.Mid-Latitude Desert,4.716,27.926,17.85303333333335,18.673
01-01-1919,4.Mediterranean,-11.852,23.666,5.495543209876545,3.658
01-01-1919,5.Temperate,-28.239,9.638,-4.618714285714285,-1.089
01-01-1919,6.Continental,-28.795,5.008,-7.242578947368418,0.8340000000000001
01-01-1919,7.Tundra,-18.215,-5.171,-11.923333333333334,-12.384
01-01-1920,1.Equitorial,17.269000000000002,28.004,25.05335384615385,25.732
01-01-1920,2.Savanna,11.27,26.691999999999997,23.434,24.061
01-01-1920,3.Mid-Latitude Desert,5.044,27.230999999999998,17.8761,18.479
01-01-1920,4.Mediterranean,-8.99,22.881,5.781469135802467,4.15
01-01-1920,5.Temperate,-20.840999999999998,10.3,-3.030535714285714,-1.7325
01-01-1920,6.Continental,-22.689,6.64,-3.7936578947368433,1.0645
01-01-1920,7.Tundra,-19.407,-5.888,-13.065,-13.9
01-01-1921,1.Equitorial,16.78,27.405,24.901646153846162,25.607
01-01-1921,2.Savanna,10.765999999999998,26.403000000000002,23.38518644067796,24.259
01-01-1921,3.Mid-Latitude Desert,4.302,26.724,18.061358333333338,18.7
01-01-1921,4.Mediterranean,-9.727,22.98,5.729740740740741,4.748
01-01-1921,5.Temperate,-21.043000000000003,10.839,-2.155142857142858,-0.20950000000000002
01-01-1921,6.Continental,-24.628,8.707,-2.3008947368421047,3.4320000000000004
01-01-1921,7.Tundra,-19.773,-4.585,-11.806666666666667,-11.062000000000001
01-01-1922,1.Equitorial,17.088,27.705,25.10073846153846,25.771
01-01-1922,2.Savanna,11.38,26.711,23.50569491525424,24.224
01-01-1922,3.Mid-Latitude Desert,4.207,27.322,17.584274999999998,18.453
01-01-1922,4.Mediterranean,-11.909,22.168000000000003,4.834456790123457,3.22
01-01-1922,5.Temperate,-30.346999999999998,10.105,-5.835392857142857,-3.876
01-01-1922,6.Continental,-31.874000000000002,5.527,-7.156973684210525,-1.608
01-01-1922,7.Tundra,-13.464,-7.757999999999999,-10.507333333333333,-10.3
01-01-1923,1.Equitorial,16.619,28.458000000000002,25.00824615384616,25.561999999999998
01-01-1923,2.Savanna,10.696,26.523000000000003,23.36403389830508,23.974
